# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636675.563583374023438,0.00253,0.00013,0.00049,0.00283,0.00003,0.00115,0.00717
1403636675.613582134246826,0.00215,0.00017,0.00032,0.00253,0.00002,0.00113,0.00632
1403636675.663581848144531,0.00245,0.00014,0.00165,0.00225,0.00011,0.00133,0.00792
1403636675.713580608367920,0.00214,0.00011,0.00400,0.00223,0.00028,0.00099,0.00975
1403636675.763579607009888,0.00237,0.00011,0.00031,0.00214,0.00083,0.00101,0.00677
1403636675.813578844070435,0.00204,0.00017,0.00016,0.00218,0.00002,0.00122,0.00578
1403636675.863579273223877,0.00310,0.00012,0.00050,0.00191,0.00167,0.00139,0.00870
1403636675.913578748703003,0.00217,0.00012,0.00291,0.00172,0.00049,0.00101,0.00843
1403636675.963579177856445,0.00207,0.00012,0.00018,0.00145,0.00065,0.00104,0.00551
1403636676.013578653335571,0.00207,0.00011,0.00016,0.00139,0.00358,0.00102,0.00834
1403636676.063577175140381,0.00192,0.00012,0.00023,0.00181,0.00113,0.00123,0.00644
1403636676.113576412200928,0.00159,0.00015,0.00001,0.00187,0.00000,0.00092,0.00454
1403636676.163575410842896,0.00238,0.00012,0.00032,0.00176,0.00033,0.00125,0.00615
1403636676.213574886322021,0.00238,0.00011,0.00030,0.00160,0.00094,0.00105,0.00639
1403636676.263573169708252,0.00210,0.00012,0.00054,0.00181,0.00000,0.00115,0.00573
1403636676.313571929931641,0.00219,0.00015,0.00030,0.00153,0.00201,0.00108,0.00727
1403636676.363570451736450,0.00230,0.00014,0.00120,0.00143,0.00041,0.00118,0.00666
1403636676.413561105728149,0.00189,0.00009,0.00004,0.00150,0.01048,0.00099,0.01500
1403636676.463562965393066,0.00218,0.00014,0.00003,0.00299,0.00082,0.00113,0.00728
1403636676.513565540313721,0.00165,0.00011,0.00228,0.00263,0.00138,0.00091,0.00896
1403636676.563567638397217,0.00222,0.00012,0.00024,0.00297,0.00040,0.00126,0.00721
1403636676.613568067550659,0.00173,0.00013,0.00017,0.00289,0.00087,0.00109,0.00689
1403636676.663567781448364,0.00179,0.00010,0.00013,0.00267,0.00036,0.00087,0.00592
1403636676.713567972183228,0.00192,0.00009,0.00015,0.00255,0.00000,0.00085,0.00557
1403636676.763565778732300,0.00238,0.00013,0.00226,0.00262,0.00281,0.00136,0.01155
1403636676.813566207885742,0.00202,0.00014,0.00051,0.00273,0.00000,0.00100,0.00640
1403636676.863565921783447,0.00237,0.00015,0.00035,0.00245,0.00000,0.00090,0.00622
1403636676.913566112518311,0.00167,0.00018,0.00077,0.00241,0.00077,0.00087,0.00668
1403636676.963566780090332,0.00237,0.00012,0.00042,0.00241,0.00012,0.00145,0.00688
1403636677.013567447662354,0.00187,0.00013,0.00045,0.00221,0.00268,0.00106,0.00841
1403636677.063567638397217,0.00230,0.00013,0.00027,0.00285,0.00003,0.00092,0.00648
1403636677.113569021224976,0.00159,0.00013,0.00147,0.00277,0.00449,0.00091,0.01137
1403636677.163569688796997,0.00161,0.00010,0.00089,0.00329,0.00000,0.00080,0.00669
1403636677.213570833206177,0.00148,0.00009,0.00004,0.00320,0.00013,0.00077,0.00572
1403636677.263568878173828,0.00223,0.00022,0.00560,0.00326,0.00194,0.00086,0.01410
1403636677.313569545745850,0.00223,0.00015,0.00007,0.00379,0.00000,0.00122,0.00746
1403636677.363570690155029,0.00218,0.00016,0.00304,0.00326,0.00000,0.00103,0.00968
1403636677.413570642471313,0.00212,0.00010,0.00003,0.00311,0.00000,0.00079,0.00615
1403636677.463571786880493,0.00179,0.00011,0.00022,0.00295,0.00010,0.00098,0.00615
1403636677.513570785522461,0.00220,0.00017,0.00032,0.00304,0.00151,0.00132,0.00857
1403636677.563568353652954,0.00203,0.00011,0.00038,0.00287,0.00000,0.00104,0.00643
1403636677.613565444946289,0.00195,0.00009,0.00008,0.00306,0.00005,0.00120,0.00644
1403636677.663561344146729,0.00282,0.00017,0.00012,0.00252,0.00002,0.00136,0.00702
1403636677.713559150695801,0.00217,0.00010,0.00015,0.00254,0.00081,0.00097,0.00675
1403636677.763556957244873,0.00194,0.00013,0.00045,0.00241,0.00067,0.00112,0.00673
1403636677.813555240631104,0.00195,0.00015,0.00092,0.00232,0.00009,0.00113,0.00656
1403636677.863554954528809,0.00220,0.00016,0.00300,0.00229,0.00383,0.00129,0.01276
1403636677.913554668426514,0.00201,0.00010,0.00200,0.00279,0.00351,0.00109,0.01150
1403636677.963554143905640,0.00173,0.00016,0.00092,0.00313,0.00000,0.00104,0.00698
1403636678.013552904129028,0.00272,0.00013,0.00003,0.00336,0.00000,0.00142,0.00768
1403636678.063551902770996,0.00188,0.00011,0.00010,0.00303,0.00010,0.00112,0.00634
1403636678.113551139831543,0.00243,0.00012,0.00015,0.00313,0.00157,0.00145,0.00885
1403636678.163549661636353,0.00184,0.00014,0.00001,0.00324,0.00000,0.00117,0.00640
1403636678.213550329208374,0.00227,0.00012,0.00418,0.00494,0.00319,0.00159,0.01630
1403636678.263550043106079,0.00209,0.00010,0.00003,0.00379,0.00000,0.00121,0.00722
1403636678.313550710678101,0.00191,0.00012,0.00026,0.00356,0.00045,0.00111,0.00741
1403636678.363550901412964,0.00223,0.00017,0.00013,0.00332,0.00000,0.00131,0.00716
1403636678.413550615310669,0.00177,0.00015,0.00052,0.00278,0.00000,0.00101,0.00623
1403636678.463551521301270,0.00216,0.00018,0.00037,0.00280,0.00206,0.00091,0.00849
1403636678.513551712036133,0.00149,0.00013,0.00040,0.00238,0.00065,0.00087,0.00593
1403636678.563553810119629,0.00263,0.00012,0.00263,0.00270,0.00431,0.00120,0.01358
1403636678.613552570343018,0.00210,0.00015,0.00009,0.00329,0.00000,0.00104,0.00667
1403636678.663552045822144,0.00225,0.00012,0.00015,0.00325,0.00000,0.00118,0.00696
1403636678.713552236557007,0.00195,0.00010,0.00011,0.00311,0.00077,0.00092,0.00697
