# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1598871633.445995330810547,0.00215,0.00008,0.00001,0.00298,0.00003,0.00101,0.00626
1598871633.479085206985474,0.00222,0.00007,0.00004,0.00298,0.00008,0.00086,0.00626
1598871633.512086153030396,0.00186,0.00006,0.00001,0.00294,0.00000,0.00082,0.00569
1598871633.545477628707886,0.00194,0.00006,0.00001,0.00297,0.00006,0.00086,0.00589
1598871633.578184366226196,0.00239,0.00010,0.00001,0.00327,0.00004,0.00095,0.00676
1598871633.610884189605713,0.00192,0.00008,0.00001,0.00328,0.00009,0.00090,0.00627
1598871633.645867586135864,0.00314,0.00008,0.00001,0.00322,0.00016,0.00104,0.00765
1598871633.678788423538208,0.00225,0.00010,0.00009,0.00299,0.00009,0.00098,0.00650
1598871633.712894916534424,0.00198,0.00008,0.00001,0.00305,0.00006,0.00109,0.00628
1598871633.746248483657837,0.00192,0.00008,0.00103,0.00295,0.00005,0.00092,0.00695
1598871633.780270576477051,0.00237,0.00012,0.00001,0.00307,0.00008,0.00109,0.00675
1598871633.852070569992065,0.00268,0.00014,0.00001,0.00298,0.00004,0.00095,0.00680
1598871633.913499593734741,0.00217,0.00013,0.00001,0.00297,0.00006,0.00088,0.00624
1598871633.979528665542603,0.00216,0.00011,0.00006,0.00299,0.00008,0.00097,0.00638
1598871634.045362949371338,0.00223,0.00012,0.00006,0.00280,0.00000,0.00108,0.00630
1598871634.079395294189453,0.00239,0.00012,0.00001,0.00346,0.00010,0.00101,0.00709
1598871634.112035274505615,0.00215,0.00014,0.00001,0.00289,0.00004,0.00102,0.00625
1598871634.146577358245850,0.00188,0.00012,0.00001,0.00308,0.00008,0.00083,0.00601
1598871634.211813926696777,0.00221,0.00008,0.00001,0.00283,0.00014,0.00091,0.00618
1598871634.244911670684814,0.00205,0.00008,0.00006,0.00288,0.00009,0.00085,0.00601
1598871634.278061151504517,0.00223,0.00009,0.00001,0.00297,0.00010,0.00092,0.00631
1598871634.311991930007935,0.00181,0.00006,0.00098,0.00279,0.00007,0.00084,0.00655
1598871634.345844507217407,0.00189,0.00006,0.00001,0.00287,0.00006,0.00082,0.00570
1598871634.378848791122437,0.00224,0.00009,0.00001,0.00288,0.00004,0.00091,0.00618
1598871634.412515401840210,0.00203,0.00007,0.00001,0.00288,0.00003,0.00088,0.00590
1598871634.445062637329102,0.00184,0.00006,0.00001,0.00283,0.00011,0.00085,0.00570
